"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 27 03:14:36 UTC 2023","Mon Nov 27 03:15:09 UTC 2023","32425","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Mon Nov 27 03:41:04 UTC 2023","Mon Nov 27 03:41:07 UTC 2023","2847","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Mon Nov 27 02:52:46 UTC 2023","Mon Nov 27 02:53:01 UTC 2023","14622","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Mon Nov 27 03:17:50 UTC 2023","Mon Nov 27 03:18:08 UTC 2023","18469","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Mon Nov 27 02:55:26 UTC 2023","Mon Nov 27 02:56:19 UTC 2023","52860","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Mon Nov 27 02:41:14 UTC 2023","Mon Nov 27 02:41:15 UTC 2023","407","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Mon Nov 27 02:53:01 UTC 2023","Mon Nov 27 02:53:23 UTC 2023","21833","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Mon Nov 27 02:40:57 UTC 2023","Mon Nov 27 02:41:10 UTC 2023","13015","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Mon Nov 27 02:35:29 UTC 2023","Mon Nov 27 02:35:35 UTC 2023","5828","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Mon Nov 27 02:30:45 UTC 2023","Mon Nov 27 02:31:05 UTC 2023","20699","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Mon Nov 27 02:35:35 UTC 2023","Mon Nov 27 02:35:42 UTC 2023","7231","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Mon Nov 27 04:00:12 UTC 2023","Mon Nov 27 04:00:18 UTC 2023","5897","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"failed","Mon Nov 27 04:37:53 UTC 2023","Mon Nov 27 04:41:02 UTC 2023","189104","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Mon Nov 27 03:02:49 UTC 2023","Mon Nov 27 03:02:57 UTC 2023","8132","","6. Company Account","","","","2. Create a Company Account",""
"passed","Mon Nov 27 04:35:12 UTC 2023","Mon Nov 27 04:35:33 UTC 2023","20507","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"skipped","Mon Nov 27 02:27:47 UTC 2023","Mon Nov 27 02:27:47 UTC 2023","2","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
